| #  | Trade Date | Exit Date  |Ticker |Enter Price | Stop Loss  |Take Profit | Exit Price | Winner |  Capital   | Position |Spread|
|124 | 2018-03-22 | 2018-04-18 | TROW  |     107.640|      96.876|       0.000|     108.802|  Yes   |   2,374.672|   Long   | 0.078|
|125 | 2018-03-26 | 2018-05-10 | QRTEA |      25.680|      23.112|       0.000|      23.102|   No   |   2,136.457|   Long   | 0.010|
|126 | 2018-03-30 | 2018-04-05 | LRCX  |      19.390|      17.451|       0.000|      19.493|  Yes   |   2,146.770|   Long   | 0.007|
|127 | 2018-04-02 | 2018-04-05 |  WDC  |      89.990|      80.991|       0.000|      90.490|  Yes   |   2,157.265|   Long   | 0.040|
|128 | 2018-04-04 | 2018-04-06 | SGMO  |      18.900|      17.010|       0.000|      16.959|   No   |   1,935.003|   Long   | 0.051|
|129 | 2018-04-06 | 2018-04-11 |  STX  |      56.620|      50.958|       0.000|      58.491|  Yes   |   1,997.621|   Long   | 0.069|
|130 | 2018-04-09 | 2018-04-11 | PYPL  |      75.190|      67.671|       0.000|      76.409|  Yes   |   2,028.323|   Long   | 0.091|
|131 | 2018-04-13 | 2018-04-24 | HBAN  |      14.660|      13.194|       0.000|      14.836|  Yes   |   2,051.642|   Long   | 0.014|
|132 | 2018-04-16 | 2018-05-08 | FAST  |      25.330|      22.797|       0.000|      25.642|  Yes   |   2,075.564|   Long   | 0.018|
|133 | 2018-04-20 | 2018-05-04 | NKTR  |      86.210|      77.589|       0.000|      77.541|   No   |   1,866.503|   Long   | 0.048|
|134 | 2018-04-23 | 2018-05-11 |  MU   |      49.020|      44.118|       0.000|      51.801|  Yes   |   1,971.186|   Long   | 0.019|
|135 | 2018-04-27 | 2018-05-08 | VTRS  |      39.340|      35.406|       0.000|      35.368|   No   |   1,771.577|   Long   | 0.038|
|136 | 2018-04-30 | 2018-05-14 | ODFL  |      44.620|      40.158|       0.000|      48.695|  Yes   |   1,929.519|   Long   | 0.065|
|137 | 2018-05-04 | 2018-05-08 | NKTR  |      77.200|      69.480|       0.000|      77.837|  Yes   |   1,943.803|   Long   | 0.263|
|138 | 2018-05-08 | 2018-05-31 |  CAR  |      43.440|      39.096|       0.000|      39.091|   No   |   1,751.444|   Long   | 0.005|
|139 | 2018-05-11 | 2018-05-22 |   M   |      29.640|      26.676|       0.000|      33.095|  Yes   |   1,954.280|   Long   | 0.025|
|140 | 2018-05-14 | 2018-06-18 | ERIC  |       7.720|       6.948|       0.000|       7.729|  Yes   |   1,955.393|   Long   | 0.001|
|141 | 2018-05-17 | 2018-05-24 |  MA   |     191.200|     172.080|       0.000|     191.771|  Yes   |   1,960.105|   Long   | 0.139|
|142 | 2018-05-21 | 2018-06-21 |  WBD  |      22.630|      20.367|       0.000|      27.905|  Yes   |   2,412.740|   Long   | 0.035|
|143 | 2018-05-23 | 2018-06-05 | GOOGL |      54.300|      48.870|       0.000|      57.538|  Yes   |   2,554.205|   Long   | 0.012|
|144 | 2018-05-25 | 2018-05-31 | CPRT  |      13.560|      12.204|       0.000|      13.705|  Yes   |   2,580.444|   Long   | 0.005|
|145 | 2018-05-28 | 2018-06-07 | URBN  |      41.700|      37.530|       0.000|      46.363|  Yes   |   2,863.887|   Long   | 0.037|
|146 | 2018-06-01 | 2018-06-07 |  BB   |      11.640|      10.476|       0.000|      12.247|  Yes   |   3,012.067|   Long   | 0.003|
|147 | 2018-06-05 | 2018-06-12 | WYNN  |     176.880|     159.192|       0.000|     179.378|  Yes   |   3,053.529|   Long   | 0.012|
|148 | 2018-06-11 | 2018-06-19 |  EXC  |      28.480|      25.632|       0.000|      29.674|  Yes   |   3,180.263|   Long   | 0.006|
|149 | 2018-06-15 | 2018-06-22 | URBN  |      45.750|      41.175|       0.000|      46.033|  Yes   |   3,198.762|   Long   | 0.017|
|150 | 2018-06-18 | 2018-06-22 | HBAN  |      15.330|      13.797|       0.000|      15.349|  Yes   |   3,201.651|   Long   | 0.001|
|151 | 2018-06-21 | 2018-07-03 |  LIN  |     155.870|     140.283|       0.000|     157.008|  Yes   |   3,223.402|   Long   | 0.172|
|152 | 2018-06-25 | 2018-07-03 | PYPL  |      82.190|      73.971|       0.000|      83.218|  Yes   |   3,262.491|   Long   | 0.052|
|153 | 2018-06-27 | 2018-07-04 | CPRT  |      13.790|      12.411|       0.000|      14.284|  Yes   |   3,377.852|   Long   | 0.006|
|154 | 2018-06-29 | 2018-07-09 |   Z   |      59.060|      53.154|       0.000|      61.633|  Yes   |   3,523.503|   Long   | 0.037|
|155 | 2018-07-02 | 2018-07-04 | CPRT  |      14.210|      12.789|       0.000|      14.277|  Yes   |   3,538.886|   Long   | 0.013|
|156 | 2018-07-05 | 2018-07-11 |  MU   |      52.840|      47.556|       0.000|      54.156|  Yes   |   3,624.711|   Long   | 0.024|
|157 | 2018-07-09 | 2018-07-12 |  BNB  |      13.660|      12.294|       0.000|      12.292|   No   |   3,260.766|   Long   | 0.002|
|158 | 2018-07-12 | 2018-07-16 | URBN  |      44.290|      39.861|       0.000|      44.434|  Yes   |   3,270.278|   Long   | 0.046|
|159 | 2018-07-16 | 2018-08-22 |  WBD  |      27.350|      24.615|       0.000|      29.057|  Yes   |   3,472.428|   Long   | 0.013|
|160 | 2018-07-20 | 2018-08-10 |  WEN  |      17.420|      15.678|       0.000|      17.647|  Yes   |   3,516.566|   Long   | 0.003|
|161 | 2018-07-24 | 2018-07-31 |  APA  |      45.050|      40.545|       0.000|      45.944|  Yes   |   3,585.297|   Long   | 0.056|
|162 | 2018-07-30 | 2018-08-03 | CSGP  |      41.460|      37.314|       0.000|      42.245|  Yes   |   3,651.820|   Long   | 0.055|
|163 | 2018-08-03 | 2018-11-09 | HOLX  |      42.110|      37.899|       0.000|      41.780|   No   |   3,622.440|   Long   | 0.004|
|164 | 2018-08-07 | 2018-10-24 | CTSH  |      78.070|      70.263|       0.000|      70.234|   No   |   3,260.984|   Long   | 0.029|
|165 | 2018-08-10 | 2018-08-31 | RGNX  |      67.400|      60.660|       0.000|      70.384|  Yes   |   3,403.194|   Long   | 0.066|
|166 | 2018-08-13 | 2018-08-15 | FOSL  |      24.510|      22.059|       0.000|      24.445|   No   |   3,393.224|   Long   | 0.075|
|167 | 2018-08-16 | 2018-08-28 |  TXN  |     109.400|      98.460|       0.000|     114.933|  Yes   |   3,563.740|   Long   | 0.087|
|168 | 2018-08-20 | 2018-08-23 |  WW   |      72.920|      65.628|       0.000|      74.046|  Yes   |   3,616.781|   Long   | 0.094|
|169 | 2018-08-24 | 2018-09-03 | TSLA  |      21.520|      19.368|       0.000|      19.362|   No   |   3,253.222|   Long   | 0.006|
|170 | 2018-08-27 | 2018-08-31 |  XEL  |      47.510|      42.759|       0.000|      48.041|  Yes   |   3,288.328|   Long   | 0.009|
|171 | 2018-08-30 | 2018-09-03 |   M   |      35.970|      32.373|       0.000|      36.382|  Yes   |   3,324.851|   Long   | 0.008|
